word,classification;
chat show,B1;
circus,B1;
beat,B2;
cello,B2;
column,B2;
bow,C2;
art,A2;
cable,B1;
cinema,C1;
brass,C2;
ballet,B1;
background,B2;
accompany,C2;
advertise,B1;
broadcast,B2;
arm,A1;
body,A1;
accident,A2;
back,A2;
brain,A2;
cold,A2;
ache,B1;
ankle,B1;
body,B1;
bottom,B1;
breast,B1;
cheek,B1;
chin,B1;
bite,B2;
breakdown,B2;
bruise,B2;
bug,B2;
chest,B2;
antibiotic,C2;
blister,C2;
calf,C2;
case,C2;
blood,A2;
breath,B1;
care,B2;
cholesterol,C1;
aspirin,B1;
backache,B1;
bandage,B1;
birth,B1;
bone,B1;
beat,B1;
bleed,B1;
ache,B2;
catch,A2;
burn,B1;
bump,B2;
carry,C1;
attack,C2;
breathe,B1;
coat,A1;
belt,A2;
boot,A2;
cap,A2;
bracelet,B1;
button,B1;
collar,B1;
badge,B2;
bikini,B2;
bow,B2;
bra,B2;
cardigan,B2;
answer,A1;
capital letter,A2;
card,A2;
accent,B1;
alarm,B1;
alphabet,B1;
brochure,B1;
call,B1;
card,B1;
certificate,B1;
accent,B2;
account,B2;
apostrophe,B2;
arrow,B2;
ban,B2;
booklet,B2;
chart,B2;
colon,B2;
appeal,C1;
character,C1;
claim,C1;
channel,C2;
cliché,C2;
advice,A2;
blame,B2;
chat,A2;
apology,B1;
code,B2;
answer,A2;
apologise,B1;
argue,B1;
check,B2;
cheer,B2;
ask,A2;
add,B1;
announce,B1;
approve,B1;
blame,B1;
amuse,B2;
assume,B2;
assure,B2;
call,B2;
capture,B2;
challenge,B2;
claim,B2;
attack,C1;
clarify,C1;
allege,C2;
ask,A1;
agree,A2;
admit,B1;
advise,B1;
ask,B1;
argue,B2;
beg,B2;
boast,B2;
call,C1;
bark,C2;
burglar,B2;
case,B2;
arrest,B2;
burglary,B2;
arrest,B1;
centimetre,A2;
circle,A2;
amount,B1;
average,B1;
bar,B1;
base,B2;
block,B2;
angle,C1;
acre,C2;
black,A2;
accuracy,B2;
colour,A1;
blue,A2;
brown,A2;
blackboard,A2;
candidate,B1;
branch,B2;
chemistry,A2;
class,A1;
bar,A1;
biscuit,A1;
café,A1;
barbecue,A2;
bean,A2;
bottle,A2;
bowl,A2;
burger,A2;
can,A2;
canteen,B1;
bun,B2;
cherry,B2;
casserole,C2;
bread,A1;
butter,A1;
beef,B1;
broccoli,B1;
chewing gum,B1;
apple,A1;
banana,A1;
breakfast,A1;
cake,A1;
cheese,A1;
chocolate,A1;
coffee,A1;
carrot,A2;
cereal,A2;
chilli,A2;
cola,A2;
cabbage,B1;
coconut,B1;
aubergine,B2;
appetite,C1;
cereal,C1;
barbecue,B1;
boil,B1;
beat,C1;
bake,A2;
address,A1;
bath,A1;
bathroom,A1;
bedroom,A1;
chair,A1;
apartment,A2;
armchair,A2;
blanket,A2;
board,A2;
bookcase,A2;
bookshelf,A2;
castle,A2;
ceiling,A2;
centre,A2;
area,B1;
balcony,B1;
basin,B1;
bin,B1;
block,B1;
candle,B1;
chest of drawers,B1;
barrier,B2;
basement,B2;
bench,B2;
brick,B2;
cabinet,B2;
cellar,B2;
chimney,B2;
cloth,B2;
cabin,C1;
balcony,C2;
air conditioning,B1;
architecture,B1;
bed,A1;
carpet,A2;
atmosphere,B2;
bank,A1;
cent,A2;
cheque,A2;
account,B1;
bank account,B1;
coin,B1;
award,B2;
balance,B2;
budget,B2;
bid,C2;
cash,A2;
change,B1;
borrow,A2;
change,A2;
borrow,C1;
beach,A1;
area,A2;
bay,B1;
branch,B1;
breeze,B1;
cave,B1;
cliff,B1;
coast,B1;
atom,B2;
bank,B2;
berry,B2;
bush,B2;
carbon footprint,B2;
cloud,B2;
bed,C2;
air,A2;
aluminium,B2;
carbon,B2;
carbon dioxide,B2;
carbon monoxide,B2;
climate change,B2;
astronomy,C2;
autumn,A2;
cloud,A2;
climate,B1;
acid,B2;
coastline,C2;
blow,B1;
break,C2;
boil,A2;
check,B1;
act,B2;
attempt,B2;
capture,C1;
come,A1;
behave,B1;
adjust,B2;
campaign,C1;
cling,C2;
carry,A1;
clean,A1;
add,A2;
bring,A2;
brush,A2;
collect,A2;
achieve,B1;
attach,B1;
attempt,B1;
avoid,B1;
bury,B1;
cancel,B1;
carry,B1;
catch,B1;
circle,B1;
clear,B1;
collect,B1;
adapt,B2;
adopt,B2;
analyse,B2;
arrange,B2;
assess,B2;
avoid,B2;
burgle,B2;
bury,B2;
calculate,B2;
clutch,C2;
catch,A1;
change,A1;
choose,A1;
close,A1;
check,A2;
climb,A2;
approach,B1;
arrange,B1;
attend,B1;
babysit,B1;
clap,B1;
assist,B2;
bang,B2;
bend,B2;
brush,B2;
charge,B2;
chase,B2;
combine,B2;
blow,C2;
carve,C2;
adult,A1;
baby,A1;
beard,A1;
boy,A1;
comb,A2;
adolescent,C2;
beauty,B1;
childhood,B1;
bit,A2;
background,B1;
chance,B2;
bully,C1;
anger,B2;
anxiety,B2;
appeal,B2;
certainty,B2;
charisma,C2;
attitude,B1;
charm,B2;
care,B1;
approve,B2;
belong,B2;
blush,B2;
believe,A2;
bother,A2;
annoy,B1;
attract,B1;
admire,B2;
appreciate,B2;
bear,B2;
betray,B2;
bother,B2;
cheat,B2;
capital,A2;
citizen,B2;
chancellor,C2;
centre,C2;
birthday,A1;
brother,A1;
aunt,A2;
boyfriend,A2;
anniversary,B1;
bride,B1;
ceremony,B1;
affair,B2;
bond,B2;
brother-in-law,B2;
circle,B2;
bond,C2;
celebrate,B1;
bag,A1;
ball,A1;
box,A1;
bat,A2;
board game,A2;
bookshop,A2;
basket,B1;
captain,B1;
chain,B1;
champion,B1;
checkout,B1;
brand,B2;
catalogue,B2;
business,A1;
badminton,A2;
chess,A2;
athletics,B1;
basketball,A1;
baseball,A2;
attack,B1;
come,A2;
appear,B2;
browse,B2;
CD,A1;
backup,B2;
bookmark,B2;
bulb,B2;
chip,B2;
access,B1;
broadband,B2;
CD-ROM,B1;
cable,B2;
access,B2;
burn,B2;
boat,A1;
bus,A1;
car,A1;
aeroplane,A2;
airport,A2;
bicycle,A2;
bike,A2;
bus station,A2;
bus stop,A2;
car park,A2;
case,A2;
coach,A2;
boot,B1;
brake,B1;
cab,B1;
cabin,B1;
campsite,B1;
check-in (desk),B1;
check-in (counter),B1;
aircraft,B2;
captain,B2;
carriage,C1;
cabin,C2;
carriage,C2;
baggage,B1;
approach,B2;
adventure,A2;
camp,B1;
camp,A2;
accelerate,C2;
carry,B2;
book,A2;
board,B1;
boss,A2;
business,A2;
businessman,A2;
businesswoman,A2;
agency,B1;
architect,B1;
career,B1;
agent,B2;
analyst,B2;
chief,B2;
client,B2;
bid,C1;
career,C2;
business,B1;
appoint,C1;
build,A2;
cigarette,A2;
addict,B2;
cancer,B1;
abuse,C2;
alcohol,A2;
champagne,A2;
bacon,B1;
beer,A1;
cathedral,A2;
church,A2;
bribe,C1;
bomb,B1;
arrival,C1;
arrival,B1;
arrival,C2;
acquaintance,C1;
appliance,C1;
alliance,C2;
annoyance,C1;
acceptance,C1;
attendance,C1;
coincidence,B2;
baker,B1;
blogger,B1;
border,B1;
butcher,B1;
buyer,B1;
banker,B2;
climbing,A2;
advertising,B2;
banking,B2;
coaching,B2;
backing,C2;
ambition,B1;
application,B1;
attraction,B1;
collection,B1;
association,B2;
collocation,B2;
accusation,C1;
assumption,C1;
audition,C1;
allocation,C2;
accommodation,B1;
attention,B1;
administration,C1;
aggression,C1;
caution,C1;
civilization,C1;
action,C2;
anticipation,C2;
civilization,B2;
combination,B2;
adaptation,C1;
alteration,C1;
auction,C1;
cancellation,C1;
collaboration,C1;
accumulation,C2;
application,C2;
association,C2;
classification,C2;
artist,A2;
chemist,A2;
chemist,B1;
celebrity,B1;
authority,C1;
authority,B2;
availability,B2;
charity,C2;
ability,B1;
charity,B1;
capability,C1;
ambiguity,C2;
alternative,B2;
authorize,C1;
appointment,A2;
announcement,B1;
amendment,C1;
attachment,C2;
awareness,C1;
closeness,C1;
blindness,C2;
clumsiness,C2;
author,B1;
calculator,B1;
ambassador,B2;
administrator,C1;
anchor,C2;
bomber,B2;
bomber,C2;
alcoholic,C2;
board,A1;
child,A1;
cinema,A1;
city,A1;
classroom,A1;
clock,A1;
actor,A2;
adjective,A2;
adverb,A2;
alarm clock,A2;
ambulance,A2;
balloon,A2;
battery,A2;
bill,A2;
body,A2;
box,A2;
break,A2;
bridge,A2;
calendar,A2;
call,A2;
century,A2;
chef,A2;
class,A2;
classmate,A2;
click,A2;
colleague,A2;
accountant,B1;
age,B1;
aim,B1;
airline,B1;
answer,B1;
antique,B1;
athlete,B1;
backpack,B1;
bell,B1;
blog,B1;
book,B1;
break,B1;
bucket,B1;
canal,B1;
case,B1;
cashpoint,B1;
chance,B1;
clinic,B1;
coach,B1;
animal,B2;
area,B2;
aspect,B2;
bakery,B2;
bar,B2;
bargain,B2;
basis,B2;
battle,B2;
beam,B2;
bell,B2;
billion,B2;
blade,B2;
board,B2;
bonus,B2;
breakthrough,B2;
bullet,B2;
candidate,B2;
carnival,B2;
category,B2;
cause,B2;
cemetery,B2;
chain,B2;
clause,B2;
clue,B2;
accessory,C1;
agency,C1;
agenda,C1;
ally,C1;
amateur,C1;
asset,C1;
assignment,C1;
avenue,C1;
basis,C1;
boundary,C1;
bracket,C1;
brain,C1;
break,C1;
breakdown,C1;
bubble,C1;
burden,C1;
cause,C1;
charge,C1;
chore,C1;
clutch,C1;
code,C1;
column,C1;
advocate,C2;
agenda,C2;
ally,C2;
arch,C2;
arm,C2;
assembly,C2;
attribute,C2;
avenue,C2;
band,C2;
bar,C2;
barn,C2;
base,C2;
battle,C2;
bet,C2;
blanket,C2;
blend,C2;
block,C2;
breakdown,C2;
bridge,C2;
buzz,C2;
care,C2;
ceiling,C2;
certainty,C2;
challenge,C2;
champion,C2;
charm,C2;
chest,C2;
chill,C2;
circuit,C2;
civilian,C2;
clash,C2;
climate,C2;
biology,A2;
behaviour,B1;
absence,B2;
agriculture,B2;
cardboard,B2;
centigrade,B2;
chaos,B2;
applause,C1;
archaeology,C1;
brass,C1;
coal,C1;
age,C2;
alarm,C2;
artificial intelligence,C2;
awe,C2;
baggage,C2;
blackmail,C2;
blood,C2;
bribery,C2;
bureaucracy,C2;
cause,C2;
colour,C2;
afternoon,A1;
age,A1;
April,A1;
August,A1;
building,A2;
chain,A2;
college,A2;
advantage,B1;
battle,B1;
benefit,B1;
challenge,B1;
charge,B1;
cod,B1;
advance,B2;
advantage,B2;
analysis,B2;
belief,B2;
campus,B2;
class,B2;
collapse,B2;
art,C1;
analogy,C2;
bias,C2;
burial,C2;
cargo,C2;
catastrophe,C2;
belongings,B2;
bacteria,C1;
bottom,A2;
atmosphere,B1;
act,C2;
air,C2;
begin,A1;
arrive,A2;
close,A2;
appear,B1;
apply,B1;
agree,B2;
apply,B2;
brake,B2;
climb,B2;
come,B2;
agree,C1;
arise,C1;
beware,C1;
collaborate,C1;
appeal,C2;
bubble,C2;
coincide,C2;
collapse,C2;
buy,A1;
accompany,B1;
admire,B1;
allow,B1;
comb,B1;
abandon,B2;
abolish,B2;
absorb,B2;
accept,B2;
accuse,B2;
affect,B2;
boost,B2;
catch,B2;
chop,B2;
abandon,C1;
absorb,C1;
accomplish,C1;
address,C1;
alarm,C1;
allocate,C1;
allow,C1;
anticipate,C1;
apply,C1;
assign,C1;
associate,C1;
assure,C1;
attain,C1;
block,C1;
cap,C1;
classify,C1;
alert,C2;
allow,C2;
amend,C2;
appreciate,C2;
arouse,C2;
assemble,C2;
attach,C2;
back,C2;
bind,C2;
boast,C2;
carry,C2;
chase,C2;
cloud,C2;
begin,A2;
accept,B1;
agree,B1;
bite,B1;
alter,B2;
benefit,B2;
blink,B2;
bounce,B2;
break,B2;
burst,B2;
chew,B2;
close,B2;
coach,B2;
collect,B2;
accelerate,C1;
accumulate,C1;
applaud,C1;
bet,C1;
broaden,C1;
cater,C1;
beat,C2;
catch,C2;
circle,C2;
air force,B1;
angel,B1;
barman,B1;
chapel,C2;
abuse,B2;
bombing,B2;
abuse,C1;
assault,C2;
combat,C2;
boiling,B2;
bear,C2;
adjacent,C2;
awesome,A2;
big,C1;
blue,C2;
cast,C2;
acceptable,B1;
capable,B2;
available,A2;
clinical,C1;
alphabetical,B2;
additional,B2;
artificial,B2;
beneficial,B2;
coastal,B2;
artificial,C2;
clinical,C2;
arrogant,B2;
animated,B1;
addicted,B2;
advanced,A2;
advanced,B1;
boiled,A2;
canned,B2;
bored,A1;
amazed,B1;
annoyed,B1;
ashamed,B1;
amused,B2;
astonished,B2;
bad-tempered,B2;
bothered,B2;
animated,C2;
closed,C2;
adopted,B2;
closed,A1;
better,A1;
beautiful,A1;
colourful,B1;
careful,A2;
cheerful,B1;
cheerful,B2;
artistic,B2;
chronic,C2;
basic,B1;
authentic,C1;
academic,B2;
academic,C2;
apologetic,C2;
charismatic,C2;
atomic,B2;
automatic,B2;
amazing,A2;
amusing,B1;
appalling,C1;
appalling,C2;
boring,A1;
amazing,B1;
annoying,B1;
charming,B1;
astonishing,B2;
caring,B2;
circulation,C2;
childish,B2;
capitalist,C2;
active,C1;
attractive,A2;
aggressive,B2;
assertive,C2;
careless,B1;
actually,A2;
badly,A2;
certainly,A2;
clearly,A2;
absolutely,B1;
actually,B1;
clearly,B1;
actually,B2;
admittedly,B2;
alternatively,B2;
apparently,B2;
basically,C1;
approximately,B1;
adequately,B2;
badly,B2;
barely,B2;
brightly,B2;
beautifully,B1;
amazingly,B1;
angrily,B1;
bravely,B1;
aggressively,B2;
anxiously,B2;
boldly,B2;
brilliantly,B2;
calmly,B2;
carelessly,B2;
cheerfully,B2;
closely,B2;
automatically,B2;
arrangement,B1;
anxious,B1;
adventurous,B2;
ambitious,B2;
anxious,B2;
cautious,B2;
bloody,B2;
chatty,C1;
bulky,C1;
cloudy,A2;
alcoholic,B1;
biological,B2;
abstract,B2;
band,A1;
audience,B1;
audience,B2;
cast,B2;
choir,B2;
all right,A2;
alright,A2;
alive,B1;
asleep,B1;
awake,B1;
blind,B1;
bump,C1;
casual,B1;
brief,B1;
absolute,B2;
clichéd,C2;
coherent,C2;
anyway,A2;
anyway,B1;
besides,B1;
anyhow,B2;
anyhow,C1;
bracket,B2;
bad,A1;
best,A1;
big,A1;
black,A1;
blue,A1;
brown,A1;
bad,A2;
big,A2;
bright,A2;
brilliant,A2;
broken,A2;
clear,A2;
accurate,B1;
ancient,B1;
awful,B1;
bad,B1;
blank,B1;
bold,B1;
brand new,B1;
brilliant,B1;
broad,B1;
clever,B1;
absurd,B2;
adequate,B2;
appropriate,B2;
approximate,B2;
average,B2;
bare,B2;
bizarre,B2;
breathtaking,B2;
circular,B2;
abnormal,C1;
average,C1;
awesome,C2;
bland,C2;
bleak,C2;
above,A1;
back,A1;
below,A1;
above,A2;
across,A2;
anywhere,A2;
around,A2;
away,A2;
apart,B1;
around,B1;
away,B1;
behind,B1;
below,B1;
alongside,C1;
beyond,C1;
bottom,A1;
be,A1;
bitter,B1;
chip,A1;
affluent,C1;
bankrupt,C1;
calm,B1;
arid,C2;
bronze,C2;
choice,B1;
aged,A2;
blonde,A2;
awkward,C2;
clever,A1;
afraid,A2;
angry,A2;
afraid,B1;
brave,B1;
certain,B1;
cold,B1;
aware,B2;
bitter,B2;
bold,B2;
bright,B2;
clumsy,B2;
alert,C1;
anti-social,C1;
able,C2;
abrupt,C2;
affectionate,C2;
blank,C2;
blunt,C2;
away,C1;
club,B1;
bound,C1;
abroad,B1;
aboard,C1;
busy,A2;
casual,C2;
board,C1;
breakable,B2;
acceptable,C1;
affordable,C1;
changeable,C1;
accountable,C2;
attainable,C2;
annual,B1;
central,B1;
accidental,B2;
analytical,C1;
bilingual,C1;
brutal,C1;
central,C1;
central,C2;
classical,C2;
abandoned,B2;
armed,B2;
balanced,B2;
accepted,C1;
acclaimed,C1;
alleged,C1;
biased,C1;
allied,C2;
broadminded,C2;
better,A2;
colourful,B2;
accessible,B2;
accessible,C2;
athletic,B2;
chaotic,C1;
automatic,C2;
characteristic,C2;
burning,B1;
challenging,B1;
alarming,C1;
beginning,A2;
aspiration,C2;
activity,A2;
active,B1;
active,B2;
attractive,B2;
addictive,C1;
administrative,C1;
aggressive,C1;
abusive,C2;
carefully,A2;
accurately,B1;
briefly,B1;
accidentally,B2;
actively,B2;
additionally,B2;
annually,B2;
appropriately,B2;
artificially,B2;
basically,B2;
casually,B2;
broadly,C1;
closely,C1;
ambiguous,C2;
analogous,C2;
anonymous,C2;
bossy,B2;
cheeky,B2;
bloody,C1;
chilly,C1;
bloody,C2;
all right,A1;
cheap,A1;
cold,A1;
adult,A2;
alone,A2;
absent,B1;
alike,B1;
all right,B1;
alright,B1;
bald,B1;
bright,B1;
actual,B2;
apparent,B2;
awkward,B2;
bad,B2;
casual,B2;
adult,C1;
ample,C1;
apparent,C1;
bad,C1;
cheap,C1;
civil,C1;
clear,C1;
close,C1;
ahead,C2;
alive,C2;
alone,C2;
arbitrary,C2;
backward,C2;
bare,C2;
carefree,C2;
circular,C2;
clean,C2;
close,C2;
about,A1;
again,A1;
also,A1;
always,A1;
a.m.,A1;
after,A2;
afterwards,A2;
again,A2;
ago,A2;
all,A2;
almost,A2;
already,A2;
always,A2;
anymore,A2;
above,B1;
ahead,B1;
along,B1;
aloud,B1;
already,B1;
altogether,B1;
any,B1;
back,B1;
backwards,B1;
best,B1;
about,B2;
ahead,B2;
alike,B2;
altogether,B2;
always,B2;
apart,B2;
aside,B2;
away,B2;
back,B2;
behind,C1;
between,C1;
above,C2;
abruptly,C2;
allegedly,C2;
around,C2;
away,C2;
below,C2;
beyond,C2;
club,A2;
character,B2;
circumstance,B2;
bronze,C1;
army,C2;
belief,C2;
body,C2;
bundle,C2;
casualty,C2;
cheer,C2;
closure,C2;
alternate,C1;
bear,C1;
coin,C2;
establishment,C1;
contract,C2;
conclude,C1;
exam,A2;
discipline,C2;
expenditure,C2;
ensure,B2;
descend,B2;
dad,A1;
fancy,B2;
depart,B1;
duration,C1;
elapse,C2;
excel,C2;
consume,B2;
comprise,C1;
desire,C1;
employ,C1;
engage,C1;
enhance,C1;
evaluate,C1;
facilitate,C1;
compromise,C2;
deem,C2;
disclose,C2;
endorse,C2;
enjoy,C2;
eradicate,C2;
erode,C2;
examine,C2;
exemplify,C2;
exercise,C2;
commence,C2;
crush,C2;
dump,C2;
devil,C2;
disapproval,C1;
dismissal,C1;
dissatisfaction,B2;
disability,B2;
disagreement,B2;
dishonesty,B2;
disorder,C1;
disagree,B1;
discourage,B2;
disrespect,C1;
disgust,C2;
disapprove,B2;
dislike,B1;
commercial,B2;
criminal,B1;
disposal,B2;
conference,B1;
confidence,B2;
dancer,A2;
examiner,B1;
cooker,A2;
dishwasher,B1;
customer,A2;
diver,B1;
consumer,B2;
defender,B2;
counter,C2;
computer,A1;
farmer,A2;
employer,B1;
ending,B1;
crossing,B1;
farming,B1;
composition,B2;
edition,B2;
composition,C2;
exhibition,B1;
condition,B2;
complexion,C2;
complication,C2;
constitution,C2;
examination,B2;
construction,B2;
definition,B2;
expression,B2;
communication,B1;
conversation,A1;
description,B1;
discussion,B1;
explanation,B1;
confession,B2;
confirmation,B2;
conviction,C2;
devastation,C2;
examination,A2;
concession,C2;
depression,C2;
conservation,B2;
evolution,B2;
decision,B1;
cooperation,B2;
contribution,B2;
demonstration,C1;
disposition,C2;
determination,B2;
exhaustion,B2;
confusion,B2;
constitution,C1;
election,B1;
competition,A2;
division,B2;
destination,B1;
expedition,B1;
connection,B2;
congestion,C1;
competition,B2;
criticism,B2;
cyclist,B1;
creativity,B2;
curiosity,B2;
community,B2;
electricity,A2;
entertainment,B1;
encouragement,B2;
development,B1;
disappointment,B1;
excitement,B1;
enjoyment,B2;
commitment,B2;
embarrassment,B2;
equipment,B1;
employment,B1;
consciousness,B2;
eagerness,B2;
coolness,C2;
escalator,B2;
competitor,B1;
director,B1;
counsellor,C2;
enquiry,B1;
delivery,B1;
discovery,B2;
contraception,C2;
extremist,C2;
contraceptive,C2;
cow,A1;
dog,A1;
dinosaur,A2;
duck,A2;
elephant,A2;
creature,B1;
dolphin,B1;
donkey,B1;
crocodile,B2;
deer,B2;
eagle,B2;
egg,B2;
cry,C2;
comic,A2;
concert,A2;
dance,A2;
drum,A2;
disc,B1;
display,B1;
documentary,B1;
display,B2;
episode,B2;
extra,C1;
culture,B1;
coverage,C1;
comedy,B1;
drama,B1;
craft,B2;
contents,B1;
contents,B2;
compose,B2;
conduct,B2;
ear,A1;
eye,A1;
face,A1;
cough,B1;
cut,B1;
diet,B1;
elbow,B1;
cure,B2;
dose,B2;
drug,B2;
eyebrow,B2;
eyelid,B2;
corpse,C2;
disc,C2;
donor,C2;
eyesight,B2;
digestion,C1;
diarrhoea,C2;
disease,B1;
earache,B1;
deodorant,C1;
diagnosis,C2;
do,A2;
faint,B2;
digest,C1;
diagnose,C2;
develop,B2;
conceive,C2;
dress,A1;
earring,A2;
dress,B2;
costume,B2;
dress,B1;
cross,A1;
document,A2;
envelope,A2;
comma,B1;
comment,B1;
consonant,B1;
cry,B1;
demand,B1;
diagram,B1;
entry,B1;
excuse,B1;
command,B2;
dash,B2;
draft,B2;
exclamation mark,B2;
contact,B1;
data,B2;
complaint,B1;
compromise,B2;
defence,B2;
emphasis,B2;
dialect,C2;
dialogue,C2;
dispute,C2;
directions,A2;
complain,B1;
count,B1;
communicate,B2;
describe,A2;
discuss,A2;
convince,B1;
date,B1;
encourage,B1;
confirm,B2;
defend,B2;
define,B2;
deny,B2;
emphasize,B2;
excuse,B2;
expose,B2;
express,B2;
condemn,C2;
explain,A2;
communicate,B1;
confirm,B1;
comment,B2;
confess,B2;
decline,B2;
enquire,B2;
exclaim,C2;
crime,B1;
custody,C2;
court,B2;
defend,C1;
convict,C2;
degree,A2;
dozen,B1;
drop,B1;
extra,B1;
curve,B2;
diamond,B2;
dimension,B2;
disc,B2;
fake,C2;
cream,A2;
depth,B1;
distance,B1;
degree,B2;
couple,B1;
drop,B2;
extent,B2;
course,A1;
dictionary,A1;
diploma,A2;
exercise,A2;
curriculum,B1;
degree,B1;
exchange,B1;
credit,B2;
dissertation,C1;
discipline,B2;
do,A1;
fail,A2;
cup,A1;
course,A2;
dish,A2;
date,C1;
core,C2;
dash,C2;
fast food,A2;
corn,B1;
dinner,A1;
drink,A1;
egg,A1;
curry,A2;
dessert,A2;
drink,A2;
courgette,B1;
cucumber,B1;
fat,B2;
dice,C2;
desk,A1;
dining room,A1;
door,A1;
farm,A1;
cupboard,A2;
curtain,A2;
drawer,A2;
entrance,A2;
exit,A2;
cottage,B1;
cushion,B1;
dustbin,B1;
duvet,B1;
corridor,B2;
estate,B2;
doorway,C2;
facilities,B1;
dollar,A1;
euro,A2;
exchange rate,B1;
debit,B2;
debt,B2;
economy,B2;
crash,C1;
cover,C1;
credit,B1;
currency,B1;
expense,B2;
disposable income,C2;
expenses,C1;
compensate,C1;
continent,B1;
district,B1;
earthquake,B2;
element,B2;
countryside,A2;
copper,B2;
daylight,B2;
earth,B2;
coral,C2;
desert,A2;
dawn,B2;
earth,B1;
erupt,C2;
experiment,B1;
estimate,B2;
consumption,C1;
effort,B1;
conflict,B2;
escape,C1;
fall,A2;
escape,B1;
cooperate,B2;
cope,B2;
crawl,B2;
experiment,B2;
complete,A2;
copy,A2;
cover,A2;
control,B1;
create,B1;
damage,B1;
decorate,B1;
defend,B1;
design,B1;
destroy,B1;
develop,B1;
discover,B1;
construct,B2;
control,B2;
copy,B2;
cut,B2;
demolish,B2;
deprive,B2;
dip,B2;
disrupt,B2;
distinguish,B2;
distract,B2;
distribute,B2;
disturb,B2;
drag,B2;
enable,B2;
examine,B2;
exploit,B2;
explore,B2;
extend,B2;
extract,B2;
consume,C1;
cross,A2;
cut,A2;
decide,A2;
delay,A2;
end,A2;
connect,B1;
continue,B1;
deliver,B1;
dig,B1;
divide,B1;
explore,B1;
face,B1;
fasten,B1;
convert,B2;
crack,B2;
dominate,B2;
elegance,C1;
cream,B1;
dream,B1;
experience,B1;
coward,B2;
extrovert,C1;
fanatic,C2;
comfort,B2;
courage,B2;
courtesy,B2;
despair,B2;
disgrace,B2;
enthusiasm,B2;
envy,B2;
faith,B2;
fame,B2;
control,C1;
discipline,C1;
distress,C1;
drive,C1;
enterprise,C1;
dignity,C2;
diplomacy,C2;
empathy,C2;
doubt,B1;
concern,B2;
cruelty,B2;
delight,B2;
depth,B2;
desire,B2;
emotion,B2;
cry,A2;
